日期,LL神华煤化工价格
2012-11-22,10550.0
2012-11-23,10500.0
2012-11-26,10550.0
2012-11-27,10600.0
2012-11-28,10600.0
2012-11-29,10650.0
2012-11-30,10650.0
2012-12-03,10750.0
2012-12-04,10850.0
2012-12-05,10900.0
2012-12-06,10900.0
2012-12-07,10900.0
2012-12-10,10950.0
2012-12-11,11000.0
2012-12-12,10950.0
2012-12-13,10950.0
2012-12-14,10900.0
2012-12-17,11000.0
2012-12-18,11000.0
2012-12-19,11000.0
2012-12-20,11000.0
2012-12-21,11000.0
2012-12-24,11000.0
2012-12-25,11000.0
2012-12-26,11100.0
2012-12-27,11100.0
2012-12-28,11100.0
2012-12-31,11100.0
2013-01-04,11100.0
2013-01-07,11100.0
2013-01-08,11150.0
2013-01-09,11150.0
2013-01-10,11150.0
2013-01-11,11150.0
2013-01-14,11100.0
2013-01-15,11100.0
2013-01-16,11000.0
2013-01-17,11000.0
2013-01-18,11000.0
2013-01-21,10950.0
2013-01-22,10950.0
2013-01-23,10900.0
2013-01-24,10900.0
2013-01-25,10900.0
2013-01-28,10950.0
2013-01-29,11050.0
2013-01-30,11100.0
2013-01-31,11100.0
2013-02-01,11100.0
2013-02-04,11100.0
2013-02-05,11150.0
2013-02-06,11150.0
2013-02-07,11150.0
2013-02-08,11150.0
2013-02-18,11100.0
2013-02-19,11100.0
2013-02-20,11000.0
2013-02-21,11000.0
2013-02-22,11000.0
2013-02-25,10900.0
2013-02-26,10850.0
2013-02-27,10850.0
2013-02-28,10850.0
2013-03-01,10900.0
2013-03-04,10850.0
2013-03-05,10800.0
2013-03-06,10800.0
2013-03-07,10800.0
2013-03-08,10650.0
2013-03-11,10650.0
2013-03-12,10600.0
2013-03-13,10450.0
2013-03-14,10450.0
2013-03-15,10450.0
2013-03-18,10500.0
2013-03-19,10600.0
2013-03-20,10650.0
2013-03-21,10700.0
2013-03-22,10700.0
2013-03-25,10700.0
2013-03-26,10700.0
2013-03-27,10650.0
2013-03-28,10650.0
2013-03-29,10650.0
2013-04-01,10600.0
2013-04-02,10600.0
2013-04-03,10600.0
2013-04-08,10450.0
2013-04-09,10450.0
2013-04-10,10450.0
2013-04-11,10500.0
2013-04-12,10450.0
2013-04-15,10300.0
2013-04-16,10150.0
2013-04-17,10150.0
2013-04-18,10050.0
2013-04-19,10050.0
2013-04-22,10100.0
2013-04-23,10050.0
2013-04-24,10050.0
2013-04-25,10100.0
2013-04-26,10200.0
2013-05-02,10250.0
2013-05-03,10250.0
2013-05-06,10400.0
2013-05-07,10400.0
2013-05-08,10450.0
2013-05-09,10500.0
2013-05-10,10500.0
2013-05-13,10500.0
2013-05-14,10500.0
2013-05-15,10500.0
2013-05-16,10400.0
2013-05-17,10400.0
2013-05-20,10400.0
2013-05-21,10400.0
2013-05-22,10400.0
2013-05-23,10400.0
2013-05-24,10400.0
2013-05-27,10400.0
2013-05-28,10400.0
2013-05-29,10450.0
2013-05-30,10500.0
2013-05-31,10450.0
2013-06-03,10450.0
2013-06-04,10500.0
2013-06-05,10550.0
2013-06-06,10600.0
2013-06-07,10700.0
2013-06-13,10700.0
2013-06-14,10700.0
2013-06-17,10700.0
2013-06-18,10700.0
2013-06-19,10700.0
2013-06-20,10700.0
2013-06-21,10600.0
2013-06-24,10550.0
2013-06-25,10550.0
2013-06-26,10550.0
2013-06-27,10550.0
2013-06-28,10550.0
2013-07-01,10550.0
2013-07-02,10550.0
2013-07-03,10600.0
2013-07-04,10650.0
2013-07-05,10650.0
2013-07-08,10650.0
2013-07-09,10650.0
2013-07-10,10650.0
2013-07-11,10800.0
2013-07-12,10800.0
2013-07-15,10800.0
2013-07-16,10750.0
2013-07-17,10750.0
2013-07-18,10750.0
2013-07-19,10800.0
2013-07-22,10900.0
2013-07-23,10900.0
2013-07-24,10950.0
2013-07-25,11050.0
2013-07-26,11050.0
2013-07-29,11100.0
2013-07-30,11100.0
2013-07-31,11100.0
2013-08-01,11300.0
2013-08-02,11300.0
2013-08-05,11350.0
2013-08-06,11450.0
2013-08-07,11500.0
2013-08-08,11450.0
2013-08-09,11350.0
2013-08-12,11350.0
2013-08-13,11300.0
2013-08-14,11250.0
2013-08-15,11250.0
2013-08-16,11250.0
2013-08-19,11200.0
2013-08-20,11200.0
2013-08-21,11150.0
2013-08-22,11150.0
2013-08-23,11100.0
